# id	name	description	rgb
20001	Gremlin	"Level 1"	A9E89C
20002	Rabbit	"Level 1"	A9E89C
20003	Goblin	"Level 5"	A9E89C
20004	Imp	"Level 6"	A9E89C
20005	Imp Elder	"Level 7"	A9E89C
20006	Orc Archer	"Level 8"	A9E89C
20007	Green Fungus	"Level 9"	A9E89C
20008	Felim Lizardman	"Level 14"	A9E89C
20009	Vuku Orc	"Level 14"	A9E89C
20010	Felim Lizardman Scout	"Level 15"	A9E89C
20011	Vuku Orc Archer	"Level 15"	A9E89C
20012	Gora Werewolf	"Level 16*"	FF5555
20013	Dryad	"Level 13"	A9E89C
20014	Felim Lizardman Warrior	"Level 17"	A9E89C
20015	Marsh Zombie	"Level 13"	A9E89C
20016	Stone Golem	"Level 13"	A9E89C
20017	Vuku Orc Fighter	"Level 17*"	FF5555
20018	Carnivorous Fungus	"Level 14*"	FF5555
20019	Dryad Elder	"Level 14"	A9E89C
20020	Marsh Zombie Lord	"Level 14"	A9E89C
20021	Red Bear	"Level 14"	A9E89C
20022	Misery Skeleton	"Level 14*"	FF5555
20023	Shadow Beast	"Level 15"	A9E89C
20024	Langk Lizardman Warrior	"Level 17*"	FF5555
20025	Lesser Dark Horror	"Level 15*"	FF5555
20026	Ruin Zombie	"Level 15"	A9E89C
20027	Langk Lizardman Scout	"Level 16"	A9E89C
20028	Pincher	"Level 16"	A9E89C
20029	Ruin Zombie Leader	"Level 16"	A9E89C
20030	Langk Lizardman	"Level 15"	A9E89C
20031	Omen Beast	"Level 17"	A9E89C
20032	Pinrul	"Level 17"	A9E89C
20033	Shade Horror	"Level 17"	A9E89C
20034	Prowler	"Level 17*"	FF5555
20035	Tracker Skeleton	"Level 17"	A9E89C
20036	Lirein	"Level 18*"	FF5555
20037	Mana Seeker	"Level 18"	A9E89C
20038	Venomous Spider	"Level 18"	A9E89C
20039	Scavenger Wererat	"Level 18"	A9E89C
20040	Sukar Wererat	"Level 18"	A9E89C
20041	Tainted Zombie	"Level 18"	A9E89C
20042	Tracker Skeleton Leader	"Level 18*"	FF5555
20043	Arachnid Tracker	"Level 19*"	FF5555
20044	Lirein Elder	"Level 19*"	FF5555
20045	Skeleton Scout	"Level 19"	A9E89C
20046	Stink Zombie	"Level 19"	A9E89C
20047	Sukar Wererat Leader	"Level 19*"	FF5555
20048	Lesser Succubus	"Level 20*"	FF5555
20049	Lycanthrope	"Level 20*"	FF5555
20050	Arachnid Predator	"Level 20*"	FF5555
20051	Skeleton Bowman	"Level 20"	A9E89C
20052	Lesser Succubus Turen	"Level 21*"	FF5555
20053	Ol Mahum Patrol	"Level 21"	A9E89C
20054	Ruin Spartoi	"Level 21"	A9E89C
20055	Wandering Eye	"Level 21"	A9E89C
20056	Dre Vanul Disposer	"Level 22*"	FF5555
20057	Lesser Succubus Tilfo	"Level 22*"	FF5555
20058	Ol Mahum Guard	"Level 22"	A9E89C
20059	Hungry Eye	"Level 22"	A9E89C
20060	Raging Spartoi	"Level 22*"	FF5555
20061	Ol Mahum Straggler	"Level 23*"	FF5555
20062	Tumran Bugbear	"Level 23"	A9E89C
20063	Ol Mahum Shooter	"Level 24"	A9E89C
20064	Tumran Bugbear Warrior	"Level 24*"	FF5555
20065	Ol Mahum Patrolman	"Level 25"	A9E89C
20066	Ol Mahum Captain	"Level 25*"	FF5555
20067	Monster Eye Watcher	"Level 25"	A9E89C
20068	Monster Eye Destroyer	"Level 26*"	FF5555
20069	Selu Lizardman Scout	"Level 26"	A9E89C
20070	Lesser Basilisk	"Level 27*"	FF5555
20071	Selu Lizardman Warrior	"Level 27*"	FF5555
20072	Basilisk	"Level 28*"	FF5555
20073	Ol Mahum Legionnaire	"Level 28"	A9E89C
20074	Androscorpio	"Level 29"	A9E89C
20075	Ant Larva	"Level 29"	A9E89C
20076	Ol Mahum Commander	"Level 29*"	FF5555
20077	Androscorpio Hunter	"Level 30"	A9E89C
20078	Whispering Wind	"Level 30"	A9E89C
20079	Ant	"Level 30"	A9E89C
20080	Ant Captain	"Level 31*"	FF5555
20081	Ant Overseer	"Level 32"	A9E89C
20082	Ant Recruit	"Level 33"	A9E89C
20083	Granite Golem	"Level 33"	A9E89C
20084	Ant Patrol	"Level 34"	A9E89C
20085	Puncher	"Level 34*"	FF5555
20086	Ant Guard	"Level 35"	A9E89C
20087	Ant Soldier	"Level 35*"	FF5555
20088	Ant Warrior Captain	"Level 36*"	FF5555
20089	Noble Ant	"Level 37"	A9E89C
20090	Noble Ant Leader	"Level 38*"	FF5555
20091	Young Fox	"Level 1"	A9E89C
20092	Monster Eye	"Level 10"	A9E89C
20093	Orc Fighter	"Level 10*"	FF5555
20094	Orc Marksman	"Level 10"	A9E89C
20095	Vampire Bat	"Level 10"	A9E89C
20096	Orc Lieutenant	"Level 11"	A9E89C
20097	Drill Bat	"Level 11"	A9E89C
20098	Orc Fighter Leader	"Level 12*"	FF5555
20099	Skeleton	"Level 12*"	FF5555
20100	Skeleton Archer	"Level 13*"	FF5555
20101	Crasher	"Level 14"	A9E89C
20102	Skeleton Marksman	"Level 14"	A9E89C
20103	Giant Spider	"Level 15*"	FF5555
20104	Skeleton Lord	"Level 15"	A9E89C
20105	Dark Horror	"Level 16*"	FF5555
20106	Talon Spider	"Level 16"	A9E89C
20107	Wererat	"Level 16"	A9E89C
20108	Blade Spider	"Level 17*"	FF5555
20109	Salamander	"Level 17"	A9E89C
20110	Undine	"Level 17*"	FF5555
20111	Wererat Leader	"Level 17*"	FF5555
20112	Salamander Elder	"Level 18"	A9E89C
20113	Undine Elder	"Level 18*"	FF5555
20114	Salamander Noble	"Level 19"	A9E89C
20115	Undine Noble	"Level 19*"	FF5555
20116	Fox	"Level 2"	A9E89C
20117	Dre Vanul	"Level 20*"	FF5555
20118	Dre Vanul Scout	"Level 21*"	FF5555
20119	Elder Fox	"Level 3"	A9E89C
20120	Wolf	"Level 4"	A9E89C
20121	Giant Toad	"Level 5"	A9E89C
20130	Orc	"Level 6"	A9E89C
20131	Orc Grunt	"Level 7"	A9E89C
20132	Werewolf	"Level 9"	A9E89C
20133	Bugbear	"Level 21*"	FF5555
20134	Cave Maiden	"Level 59*"	FF5555
20135	Alligator	"Level 40*"	FF5555
20136	Death Knight	"Level 50*"	FF5555
20137	Drake	"Level 57*"	FF5555
20138	Gargoyle	"Level 27*"	FF5555
20139	Giant Bee	"Level 16"	A9E89C
20140	Giant Leech	"Level 24*"	FF5555
20141	Giant Wild Hog	"Level 47*"	FF5555
20142	Griffon	"Level 20"	A9E89C
20143	Grizzly	"Level 12*"	FF5555
20144	Hangman Tree	"Level 35*"	FF5555
20145	Harpy	"Level 32*"	FF5555
20146	Headless Knight	"Level 50*"	FF5555
20147	Hobgoblin	"Level 21"	A9E89C
20148	Hungry Spirit	"Level 40*"	FF5555
20149	Iron Golem	"Level 38*"	FF5555
20150	King Bugbear	"Level 32*"	FF5555
20151	Kobold	"Level 4"	A9E89C
20152	Lizardman	"Level 19"	A9E89C
20153	Magical Weaver	"Level 11"	A9E89C
20154	Mandragora Sprout	"Level 21"	A9E89C
20155	Mandragora Sapling	"Level 23*"	FF5555
20156	Mandragora Blossom	"Level 25*"	FF5555
20157	Marsh Stakato	"Level 29*"	FF5555
20158	Medusa	"Level 34*"	FF5555
20159	Minotaur	"Level 43*"	FF5555
20160	Neer Crawler	"Level 28*"	FF5555
20161	Oel Mahum	"Level 53*"	FF5555
20162	Ogre	"Level 41*"	FF5555
20163	Ol Mahum	"Level 23"	A9E89C
20164	Ol Mahum Archer	"Level 25*"	FF5555
20165	Ol Mahum Champion	"Level 29*"	FF5555
20166	Succubus	"Level 32*"	FF5555
20167	Serpent Slave	"Level 40*"	FF5555
20168	Silenos	"Level 30"	A9E89C
20169	Skeleton Royal Guard	"Level 26*"	FF5555
20170	Spartoi	"Level 15*"	FF5555
20171	Specter	"Level 26*"	FF5555
20172	Sylph	"Level 10"	A9E89C
20173	Troll	"Level 33*"	FF5555
20174	Two-Headed Giant	"Level 35*"	FF5555
20175	Walking Fungus	"Level 8"	A9E89C
20176	Wyrm	"Level 35*"	FF5555
20177	Zombie	"Level 6"	A9E89C
20189	Puma	"Level 15"	A9E89C
