# tag	id	type	category	cat2_cntr	cat2_text	cmd	icon	name	desc
1	0	-1	1	1	-2	S'asseoir/Se lever	icon.action001	"Appuyer pour S'asseoir/Se lever. (/sit, /stand)"	sitstand
1	1	-1	1	1	-2	Marcher/Courir	icon.action002	"Appuyer pour Marcher/Courir. (/walk, /run)"	walkrun
1	2	-1	1	1	-2	Attaquer	icon.action003	"Attaque la cible sélectionnée, ou fait une action générale si la cible ne peut pas être attaquée. Maintenir la touche Ctrl et cliquer pour forcer l'attaque. \n\n(/attack, /attackforce)"	attack
1	3	-1	1	1	-2	Echanger	icon.action005	Demande un commerce à la cible sélectionnée (/trade)	trade
1	4	-1	1	1	-2	Cible suivante	icon.action007	Sélectionne la cible attaquable la plus proche. (/targetnext)	targetnext
1	5	-1	1	1	-2	Ramasser	icon.action008	Ramasse les objets qui sont disperses tout près (/pickup)	Pickup
1	6	-1	1	1	-2	Assister	icon.action010	Change pour la cible du joueur actuellement sélectionné (/assist)	assist
1	7	-1	2	1	-2	Inviter	icon.action011	Invite la personne sélectionnée a votre partie. (/invite)	partyinvite
1	8	-1	2	1	-2	Quitter partie	icon.action012	Quitte la partie. (/leave)	partyleave
1	9	-1	2	1	-2	Ejecter membre de la partie	icon.action013	"Si vous êtes le chef de la partie, éjecte les membres choisis de votre partie. (/dismiss)"	partydismiss
1	10	-1	1	1	-2	Magasin privé - Vendre	icon.action018	Crée un magasin prive pour vendre vos objets. (/vendor)	vendor
1	11	-1	2	1	-2	Rechercher partie	icon.action019	Affiche la fenêtre de recherche de partie pour chercher une partie ou ajouter des membres a votre partie.  (/partymatching)	partymatching
1	12	2	3	1	-2	Salutation	icon.action015	"Emotion: Salue les autres avec un aimable "bonjour". (/socialhello)"	socialhello
1	13	3	3	1	-2	Victoire	icon.action016	Emotion: Laisse chacun savoir que vous ou quelqu'un d'autre est victorieux! (/socialvictory)	socialvictory
1	14	4	3	1	-2	Charger	icon.action017	Emotion: Encourage vos alliés à charger! (/socialcharge)	socialcharge
1	15	-1	4	1	-2	Changer Mode de Mouvement	icon.action101	Fait que votre pet vous suit ou reste sur place.	pethold
1	16	-1	4	1	-2	Attaquer	icon.action102	Attaque une Cible.	petattack
1	17	-1	4	1	-2	Stop	icon.action103	Stop l'action courante.	petstop
1	18	-1	4	1	-2	Ramasser	icon.action104	Prend les objets proche.	petpickup
1	19	-1	4	1	-2	Désinvoquer Pet	icon.action106	Retourne votre pet de nouveau a sa maison.	petrevert
1	20	0	0	1	-2	Skill spécial	icon.action105	Utilise un skill spécial	petspecial
1	21	-1	5	1	-2	Changer Mode de Mouvement	icon.action101	Fait que votre invocation vous suit ou reste sur place.	summonhold
