# id	name
1	Equipment
2	Item
3	Quest Item
4	Bronze
5	Steel
6	Wood
7	Bone
8	Cloth
9	Leather
10	Cotton
11	Fine Steel
12	Oriharukon
13	Damascus
14	Adamantaite
15	Blood Steel
16	Paper
17	Chrysolite
18	Silver
19	Gold
20	Adamantaite
21	Mithril
22	Horn
23	Born of Dragon
24	Crystal
25	Dyestuff
26	Cobweb
27	None
28	Underwear
29	Rear
30	Lear
31	Neck
32	Rfinger
33	Lfinger
34	Head
35	Rhand
36	Lhand
37	Gloves
38	Chest
39	Legs
40	Feet
41	Back
42	Lrhand
43	Sword
44	Blunt
45	Dagger
46	Pole
47	Fist
48	Bow
49	Etc
50	Name
51	Slot
52	Weight
53	Material
54	P. Def.
55	P. Atk.
56	Weapon Type
57	Description
58	Air
59	Branch of Orbis Arbor
60	Branch of Worldtree
61	Brass
62	Corpse
63	Crow
64	Diamond
65	Drug
66	Eyeball
67	Feather
68	Flax
69	Fur
70	Hatching Egg
71	Insect
72	Leather of Dragon
73	Leather of Drake
74	Leather of Lion
75	Leather of Manticore
76	Leather of Puma
77	Leather of Salamander
78	Leather of Unicorn
79	Liquid
80	Parchment
81	Sand
82	Scale of Dragon
83	Silk
84	Skull
85	Skull of Wyvern
86	Water
87	Wool
88	Lv
89	Exp
90	HP
91	MP
92	SP
93	Combat
94	P. Atk.
95	P. Def.
96	Accuracy
97	Evasion
98	M. Atk.
99	M. Def.
100	Social
101	Karma
102	Fame
103	Stats
104	STR
105	DEX
106	CON
107	INT
108	WIT
109	MEN
110	2nd Attributes
111	Atk. Spd.
112	Casting Spd.
113	Crit. Rate
114	Load
115	Condition
116	Equip
117	Item
118	Quest
119	Skills
120	Active
121	Passive
122	Spells
123	I
124	II
125	III
126	IV
127	Actions
128	@Clan
129	Basic
130	Party
131	Warehouse
132	Stored Items
133	Items to Retrieve
134	Adena
135	Fee
136	Store
137	Items on Sale
138	Inventory
139	Items to Buy
140	Confirm
141	Cancel
142	Price
143	Price
144	All
145	Help
146	Options
147	Restart
148	Exit Game
149	Log In
150	ID
151	Password
152	Log In
153	Exit
154	New Account
155	Lost Account
156	Options
157	Select Character
158	Create
159	Delete
160	Start
161	Previous
162	Create
163	Name
164	Race
165	Cls
166	Gender
167	Hairstyle
168	Hair Color
169	Face
170	Human
171	Elf
172	Dark Elf
173	Orc
174	Dwarf
175	Fighter
176	Mystic
177	Male
178	Female
179	Type A
180	Type B
181	Type C
182	Type D
183	Select
184	Yes
185	No
186	Type E
187	Type F
188	#Party
189	Material
190	Price
191	Name
192	Quantity
193	System Menu
194	Status
195	Inventory
196	Skills & Magic
197	Action
198	Quest
199	Communication
200	Party Info
201	Clan Info
202	Buddy Informaion
203	Edit Profile
204	Social
205	Options
206	Video
207	Audio/System
208	Game
209	Resolution
210	Gamma
211	Texture
212	Shadows
213	Ground Detail
214	Terrain Range
215	PC/NPC Range
216	SFX Vol.
217	Music Vol.
218	Apply
219	800*600 32bit
220	1024*768 32bit
221	1280*960 32bit
222	1280*1024 32bit
223	1600*1200 32bit
224	High
225	Average
226	Low
227	On
228	Off
229	Underwear
230	Headgear
231	Shield
232	Gloves
233	Boots
234	Cloak
235	Upper Body
236	Lower Body
237	Earring
238	Necklace
239	Ring
240	Quest Item
241	Money
242	One Handed
243	Two Handed
244	Robe
245	Light
246	Heavy
247	Human Fighter
248	Warrior
249	Gladiator
250	Warlord
251	Human Knight
252	Paladin
253	Dark Avenger
254	Rogue
255	Treasure Hunter
256	Hawkeye
257	Human Mystic
258	Human Wizard
259	Sorcerer
260	Necromancer
261	Warlock
262	Cleric
263	Bishop
264	Prophet
265	Elven Fighter
266	Elven Knight
267	Temple Knight
268	Sword Singer
269	Elven Scout
270	Plains Walker
271	Silver Ranger
272	Elven Mystic
273	Elven Wizard
274	Spellsinger
275	Elemental Summoner
276	Elven Oracle
277	Elven Elder
278	Dark Fighter
279	Palus Knight
280	Shillien Knight
281	Bladedancer
282	Assassin
283	Abyss Walker
284	Phantom Ranger
285	Dark Mystic
286	Dark Wizard
287	Spellhowler
288	Phantom Summoner
289	Shillien Oracle
290	Shillien Elder
291	Orc Fighter
292	Orc Raider
293	Destroyer
294	Monk
295	Tyrant
296	Orc Mystic
297	Orc Shaman
298	Overlord
299	Warcryer
300	Dwarven Fighter
301	Scavenger
302	Bounty Hunter
303	Artisan
304	Warsmith
305	Graphic Cursor
306	Very Fast
307	Fast
308	Normal
309	Slow
310	Very Slow
311	Active Skill
312	Passive Skill
313	Magic
314	"Clan "
315	M. Atk.
316	Atk. Spd.
317	DEF Rate
318	Dodge
319	M. Def.
320	MP Cost
321	Range
322	Price
323	M. Def.
324	Accepted Quest
325	Description
326	Item
327	Cancel
328	Announcements
329	Language
330	Invite
331	Title
332	Set Crest
333	Battle
334	Truce
335	Surrender
336	Yield
337	Leave
338	Dismiss
339	In Siege
340	In War
341	Disband
342	Leader
343	Base
344	Hideout Exists
345	Castle Exists
346	Status
347	On
348	Out
349	Protecting Castle
350	Reflection
351	Refresh Rate
352	Reflections
353	All
354	Sky
355	+Trade
356	System
357	Damage
358	Chat
359	Shout
360	Clan
361	Party
362	Trade
363	Whisper
364	Skill List
365	Req. SP
366	Description
367	Requirements
368	Learn
369	List
370	Lower Detail
371	Unacquired state
372	To Village
373	To Outpost
374	To Clan Hall
375	To Castle
376	Effect
377	Top
378	Up
379	Favorite
380	Add Fav.
381	Region
382	Clan
383	General
384	Message
385	Abort
386	<Private Store>
387	Community
388	MP Increase
389	Party
390	Community
391	Cls
392	Lv
393	Name
394	Range
395	P/S
396	Invite
397	Options
398	Whisper
399	Target
400	Auto Join
401	Show Level
402	Show Class
403	Memo
404	Soulshot Used
405	Short
406	Mid
407	Long
408	Leader
409	Member
410	Solo
411	Not open
412	Type
413	Title
414	Registered
415	Administrator
416	No.
417	Author
418	Date
419	Read
420	Search
421	Write
422	View List
423	Enter
424	Change
425	Delete
426	Reply
427	Body
428	Start
429	Msg.
430	Clan
431	No Clan
432	Speed
433	Status
434	Character Status
435	Display
436	Player
437	Monsters
438	Other PCs
439	Clan
440	Party
441	General
442	Enter Chat
443	Use
444	Chat
445	Exchange
446	System Menu
447	Map
448	Tutorial
449	Choose Server
450	Race
451	Name
452	Traffic
453	PvP
454	Age Limit
455	Open Beta Server
456	Down
457	Normal
458	Heavy
459	On
460	Off
461	Over 18 years
462	Over 15 years
463	Tracking
464	Texture Filter
465	Fixed
466	Light
467	Heavy
468	For Each
469	Adena
470	Petition
471	Current Position
472	Petition - GM
473	Cancel
474	Begin
475	End
476	Consultation
477	Skill Trainer
478	Interface
479	Initialize
480	Settling
481	Select Speaker
482	Stereo Headphones
483	Stereo Speaker
484	4-channel Speaker
485	5.1-channel Speaker
486	Party Loot
487	Finders Keepers
488	Random
489	Loot Dist.
490	Alliance
491	Information
492	Action
493	Items
494	Pet Interface
495	Summon Interface
496	Spiritshot Used
497	Name
498	Private Store
499	<Private Store - Buy>
500	<Private Store - Sell>
501	Quantity
502	Wish List
503	For Sale
504	Double Blades
505	Servitors
506	Pets
507	Bartz
508	Sieghardt
509	Kain
510	Lionna
511	Erica
512	Gustin
513	Devianne
514	Hindemith
515	Teon
516	Franz
517	Luna
518	Kastien
519	Airin
520	Staris
521	Ceriel
522	Fehyshar
523	Elhwynna
524	Ellikia
525	Shikken
526	Scryde
527	Frikios
528	Ophylia
529	Shakdun
530	Tarziph
531	Aria
532	Esenn
533	Elcardia
534	Yiana
535	Khadia
536	Ungoat
537	Lv
538	Warning
539	Teen
540	PC/NPC Limit
541	Looking for Party
542	Upper and Lower Body
543	<Previous
544	Next>
545	Bid
546	Cancel bid
547	Re-bid
548	List of Bidders
549	Register item for sale
550	Village Name
551	Clan
552	Ending Date
553	Cancel auction
554	List
555	Minimum Bid
556	Region where teleporting is possible
