# id	UNK_0	message	group	rgb	item_sound	sys_msg_ref	UNK_1_1	UNK_1_2	UNK_1_3	UNK_1_4	UNK_1_5	sub_msg	type
0	1	Vous avez été déconnecté du serveur.	2	B09B79			0	0	0	0	0		server
1	1	Le serveur sera arrêté dans $s1 secondes. Veuillez trouver un endroit sûr afin de vous déconnecter	2	B09B79			8	0	3	1	0	Arrêt du serveur : $s1 secondes restantes	server
2	1	$s1 n'existe pas.	0	B09B79			0	0	0	0	0		none
3	1	$s1 est actuellement hors ligne.	0	B09B79			0	0	0	0	0		none
4	1	Vous ne pouvez pas demandez à vous même de vous joindre au clan.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
5	1	$s1 existe déjà.	0	B09B79	ItemSound3.sys_character_failed		0	0	0	0	0		none
6	1	$s1 n'existe pas.	0	B09B79	ItemSound3.sys_character_failed		0	0	0	0	0		none
7	1	Vous êtes déjà membre de $s1.	0	B09B79			0	0	0	0	0		none
8	1	Vous êtes actuellement dans un autre clan.	0	B09B79			0	0	0	0	0		none
9	1	$s1 n'est pas le chef du clan.	0	B09B79			0	0	0	0	0		none
10	1	$s1 est actuellement dans un autre clan.	0	B09B79			0	0	0	0	0		none
11	1	Il n'y a aucun prétendant pour ce clan.	0	B09B79			0	0	0	0	0		none
12	1	L'information du prétendant est incorrecte.	0	B09B79			0	0	0	0	0		none
13	1	Impossible de dissoudre : votre clan a demandé à participer au siège d'un château.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
14	1	Impossible de dissoudre : votre clan possède une ou plusieurs forteresses ou châteaux.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
15	1	Vous êtes en siège.	0	B09B79			0	0	0	0	0		none
16	1	Vous n'êtes pas en siège.	0	B09B79			0	0	0	0	0		none
17	1	Le siège du château a commencé.	0	B09B79	ItemSound3.sys_siege_start	17	2	0	3	1	0	Début du Siège !	none
18	1	Le siège du château est fini.	0	B09B79		18	2	0	3	1	0	Le siège est fini !	none
19	1	Le château a un nouveau roi !	0	B09B79			0	0	0	0	0		none
20	1	La porte est en train de s'ouvrir.	0	B09B79			2	0	3	1	0	La porte est en train de s'ouvrir.	none
21	1	La porte est en cours de destruction.	0	B09B79			2	0	3	1	0	La porte est en train d'être détruite.	none
22	1	Votre cible est trop loin.	0	B09B79			0	0	0	0	0		none
23	1	Pas assez de HP.	0	832323	ItemSound3.sys_shortage		0	0	0	0	0		none
24	1	Pas assez de MP.	0	7F00FF	ItemSound3.sys_shortage		7	0	1	1	0	Plus de Mana !	none
25	1	Régénération HP.	0	D87333			0	0	0	0	0		none
26	1	Régénération MP.	0	3232CD			0	0	0	0	0		none
27	1	Votre sort a été interrompu.	0	B09B79			0	0	0	0	0		none
28	1	Vous avez obtenu $s1 adenas.	0	FFFF00			0	0	0	0	0		none
29	1	Vous avez obtenu $s2 $s1.	0	FFFF00			0	0	0	0	0		none
30	1	Vous avez obtenu $s1.	0	FFFF00			0	0	0	0	0		none
31	1	Vous ne pouvez pas faire cela tout en étant assis.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
32	1	Vous ne pouvez engager le combat. Veuillez vous rendre au point de réapparition le plus proche.	0	B09B79			0	0	0	0	0		none
33	1	Vous ne pouvez pas bouger car vous lancez un sort.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
34	1	Bienvenue dans le monde de Lineage II.	2	B09B79			0	0	0	0	0		server
35	1	Vous infligez $s1 points de dégâts.	3	B09B79			0	0	0	0	0		damage
36	1	$c1 vous inflige $s2 points de dégâts.	3	B09B79			0	0	0	0	0		damage
37	1	$c1 vous inflige $s2 points de dégâts.	3	B09B79			0	0	0	0	0		damage
38	1	L'événement TGS2002 commence !	0	B09B79			0	0	0	0	0		none
39	1	L'événement TGS2002 est terminé. Merci beaucoup.	0	B09B79			0	0	0	0	0		none
40	1	C'est le TGS de démonstration : le personnage sera immédiatement restauré.	0	B09B79			0	0	0	0	0		none
41	1	Vous avez correctement décoché une flèche.	1	B09B79			0	0	0	0	0		battle
42	1	Vous avez évité l'attaque de $c1.	1	B09B79			0	0	0	0	0		battle
43	1	Cible manquée.	1	B09B79			0	0	0	0	0		battle
44	1	Coup critique!	1	9F5F9F			0	0	0	0	0		battle
45	1	Vous avez gagné $s1 points d'expérience.	0	B09B79			0	0	0	0	0		none
46	1	Vous utilisez $s1.	0	B09B79			0	0	0	0	0		none
47	1	Vous commencez à utiliser $s1.	0	B09B79			0	0	0	0	0		none
48	1	$s1 est en cours de rechargement.	3	B09B79	ItemSound3.sys_shortage		0	0	0	0	0		damage
49	1	Vous équipez votre $s1.	0	B09B79			0	0	0	0	0		none
50	1	Votre cible ne peut être trouvée.	0	B09B79			0	0	0	0	0		none
51	1	Vous ne pouvez pas utiliser cela sur vous.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
52	1	Vous avez gagné $s1 adenas.	0	FFFF00			0	0	0	0	0		none
53	1	Vous avez reçu $s2 $s1(s).	0	FFFF00			0	0	0	0	0		none
54	1	Vous avez reçu $s1.	0	FFFF00			0	0	0	0	0		none
55	1	Vous n'avez pas réussi à prendre $s1 adena(s).	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
56	1	Vous n'avez pas réussi à prendre $s1.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
57	1	Vous n'avez pas réussi à prendre $s2 $s1.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
58	1	Vous n'avez pas gagné $s1 adena(s).	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
59	1	Vous n'avez pas gagné $s1.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
60	1	Vous n'avez pas gagné $s2 $s1.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
61	1	Rien ne se passe.	0	B09B79			0	0	0	0	0		none
62	1	Votre $s1 a été enchanté avec succès !	0	FFFF00	ItemSound3.sys_enchant_success		0	0	0	0	0		none
63	1	Votre +$S1 $S2 a été enchanté avec succès !	0	FFFF00	ItemSound3.sys_enchant_success		0	0	0	0	0		none
64	1	L'enchantement a échoué!  Votre $s1 a été cristallisé.	0	B09B79	ItemSound3.sys_enchant_failed		0	0	0	0	0		none
65	1	L'enchantement a échoué!  Votre +$s1 $s2 a été cristallisé.	0	B09B79	ItemSound3.sys_enchant_failed		0	0	0	0	0		none
66	1	$c1  vous a invité à rejoindre sa partie. Acceptez-vous l'invitation?	4	B09B79	ItemSound3.sys_party_invite		0	0	0	0	0		popup
67	1	"$s1 vous invite à rejoindre son clan, $s2. Acceptez-vous?"	4	B09B79	ItemSound3.sys_party_invite		0	0	0	0	0		popup
68	1	"Etes-vous sur de vouloir quitter le clan $s1 ? Si vous le quittez, vous devrez attendre au moins un jour avant d'en rejoindre un autre."	4	B09B79			0	0	0	0	0		popup
69	1	"Etes-vous sur de vouloir virer $s1 du clan? Si vous le faites, vous devrez attendre au moins un jour avant de pouvoir accepter un nouveau membre."	4	B09B79			0	0	0	0	0		popup
70	1	"Voulez-vous dissoudre le clan, $s1?"	4	B09B79			0	0	0	0	0		popup
71	1	Combien de vos $s1 voulez-vous jeter?	4	B09B79			0	0	0	0	0		popup
72	1	Combien de vos $s1 voulez-vous transférer?	4	B09B79			0	0	0	0	0		popup
73	1	Combien de vos $s1 voulez-vous détruire?	4	B09B79			0	0	0	0	0		popup
74	1	Voulez-vous détruire votre $s1?	4	B09B79			0	0	0	0	0		popup
75	1	Cet identifiant n'existe pas.	0	B09B79	ItemSound3.sys_character_failed		0	0	0	0	0		none
76	1	Mot de passe incorrect.	0	B09B79			0	0	0	0	0		none
77	1	Vous ne pouvez pas créer d'autres personnages. Effacez un personnage existant et réessayez de nouveau.	0	B09B79	ItemSound3.sys_character_failed		0	0	0	0	0		none
78	1	Voulez-vous vraiment supprimer $s1 ?	4	B09B79			0	0	0	0	0		popup
79	1	Ce nom existe déjà.	0	B09B79	ItemSound3.sys_character_failed		0	0	0	0	0		none
80	1	Votre titre ne peut pas excéder plus de 16 caractères. Veuillez en essayer un autre.	0	B09B79	ItemSound3.sys_character_failed		0	0	0	0	0		none
81	1	Sélectionnez votre race.	0	B09B79	ItemSound3.sys_character_failed		0	0	0	0	0		none
82	1	Sélectionnez votre type.	0	B09B79	ItemSound3.sys_character_failed		0	0	0	0	0		none
83	1	Sélectionnez votre sexe.	0	B09B79	ItemSound3.sys_character_failed		0	0	0	0	0		none
84	1	Vous ne pouvez pas attaquer dans la Zone de Paix.	0	B09B79			0	0	0	0	0		none
85	1	Vous ne pouvez pas attaquer la cible dans la Zone de Paix.	0	B09B79			0	0	0	0	0		none
86	1	Merci d'entrer votre identifiant.	0	B09B79			0	0	0	0	0		none
87	1	Merci d'entrer votre mot de passe.	0	B09B79			0	0	0	0	0		none
88	1	"Votre version du protocole est différente, veuillez redémarrer le jeu et effectuer un Check Files."	0	B09B79			0	0	0	0	0		none
89	1	"Votre version du protocole est différente, veuillez continuer."	0	B09B79			0	0	0	0	0		none
90	1	Vous êtes dans l'incapacité de vous connecter au serveur.	0	B09B79			0	0	0	0	0		none
91	1	Sélectionnez votre coiffure.	0	B09B79			0	0	0	0	0		none
92	1	$s1 s'est dissipé.	0	B09B79			0	0	0	0	0		none
93	1	Vous n'avez pas assez de SP.	0	B09B79	ItemSound3.sys_shortage		0	0	0	0	0		none
94	1	2004-2009 © Copyright NCsoft Corporation. Tous droits réservés.	0	B09B79			0	0	0	0	0		none
95	1	Vous gagnez $s1 points d'expérience et $s2 SP.	0	B09B79			0	0	0	0	0		none
96	1	Félicitations vous avez gagné un niveau !	0	DBDB70			0	0	0	0	0		none
97	1	Cet objet ne peut être transféré.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
98	1	Cet objet ne peut être jeté.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
99	1	Cet objet ne peut être ni échangé ni vendu.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
100	1	$c1 demande un échange. Voulez-vous continuer?	4	B09B79			0	0	0	0	0		popup
101	1	Vous ne pouvez pas quitter en plein combat.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
102	1	Vous ne pouvez pas redémarrer en plein combat.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
103	1	Cet utilisateur est déjà connecté.	0	B09B79			0	0	0	0	0		none
104	1	Vous ne pouvez pas utiliser l'équipement pendant que vous préparez un sort ou pendant que vous lancez un sort.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
105	1	Vous avez invité $c1 dans votre partie.	0	B09B79	ItemSound3.sys_party_join		0	0	0	0	0		none
106	1	Vous avez rejoint la partie de $s1.	0	B09B79	ItemSound3.sys_party_join		0	0	0	0	0		none
107	1	$c1 a rejoint la partie.	0	B09B79	ItemSound3.sys_party_join		0	0	0	0	0		none
108	1	$c1 a quitté la partie.	0	B09B79	ItemSound3.sys_party_leave		0	0	0	0	0		none
109	1	Cible  incorrecte.	0	B09B79			0	0	0	0	0		none
110	1	Vous ressentez les effets de $s1.	0	B09B79			0	0	0	0	0		none
111	1	La défense du bouclier a réussi.	1	B09B79			0	0	0	0	0		battle
112	1	Vous n'avez plus de flèches.	0	B09B79	ItemSound3.sys_shortage		0	0	0	0	0		none
113	1	$s1 ne peut pas être utilisé en raison de conditions inappropriées.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
114	1	Vous entrez dans l'ombre de l'Arbre-Mère.	0	B09B79			0	0	0	0	0		none
115	1	Vous sortez de l'ombre de l'Arbre-Mère.	0	B09B79			0	0	0	0	0		none
116	1	Vous entrez dans une Zone de Paix.	0	B09B79			0	0	0	0	0		none
117	1	Vous sortez d'une Zone de Paix.	0	B09B79			0	0	0	0	0		none
118	1	Vous avez demandé un échange à $c1.	0	B09B79			0	0	0	0	0		none
119	1	$c1 a ignoré l'échange.	0	B09B79	ItemSound3.sys_denial		0	0	0	0	0		none
120	1	Vous commencez l'échange avec $c1.	0	B09B79			0	0	0	0	0		none
121	1	$c1 vient de confirmer l'échange.	0	B09B79			0	0	0	0	0		none
122	1	Vous ne pouvez plus modifier les objets de l'échange car l'échange a été confirmé.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
123	1	L'échange s'est effectué avec succès.	0	B09B79	ItemSound3.sys_exchange_success		0	0	0	0	0		none
124	1	$c1 a annulé l'échange.	0	B09B79			0	0	0	0	0		none
125	1	Souhaitez-vous quitter le jeu?	4	B09B79			0	0	0	0	0		popup
126	1	Souhaitez-vous retourner à l'écran de sélection du personnage ?	4	B09B79			0	0	0	0	0		popup
127	1	Vous avez été déconnecté du serveur. Merci de vous connecter à nouveau.	4	B09B79			0	0	0	0	0		popup
128	1	La création de votre personnage a échoué.	0	B09B79	ItemSound3.sys_character_failed		0	0	0	0	0		none
129	1	Votre inventaire est plein.	0	B09B79	ItemSound3.sys_shortage		0	0	0	0	0		none
130	1	Votre entrepôt est plein.	4	B09B79	ItemSound3.sys_shortage		0	0	0	0	0		popup
131	1	$s1 vient de se connecter.	0	B09B79	ItemSound3.sys_friend_login		0	0	0	0	0		none
132	1	$s1 vient de s'ajouter à votre liste d'ami.	0	B09B79			0	0	0	0	0		none
133	1	$s1 vient d'être supprimé de votre liste d'ami.	0	B09B79			0	0	0	0	0		none
134	1	Vérifiez votre liste d'amis à nouveau, s'il vous plait.	0	B09B79			0	0	0	0	0		none
135	1	$c1 n'a pas répondu à votre invitation. L'invitation est annulée.	0	B09B79	ItemSound3.sys_denial		0	0	0	0	0		none
136	1	Vous n'avez pas répondu à l'invitation de $c1. L'invitation est annulée.	0	B09B79	ItemSound3.sys_denial		0	0	0	0	0		none
137	1	Il n'y a plus d'objet dans le raccourci.	0	B09B79			0	0	0	0	0		none
138	1	Désignez un raccourci.	0	B09B79			0	0	0	0	0		none
139	1	$c1 a résisté à votre $s2.	0	A62A2A			0	0	0	0	0		none
140	1	Votre sort a été annulé en raison d'un manque de MP.	0	B09B79	ItemSound3.sys_shortage		0	0	0	0	0		none
141	1	"Une fois que l'échange est confirmé, l'objet ne peut plus être déplacé."	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
142	1	Vous faites déjà un échange.	0	B09B79			0	0	0	0	0		none
