# id	UNK_0	message	group	rgb	item_sound	sys_msg_ref	UNK_1_1	UNK_1_2	UNK_1_3	UNK_1_4	UNK_1_5	sub_msg	type
0	1	You have been disconnected from the server.	2	B09B79			0	0	0	0	0		server
1	1	The server will be coming down in $s1 second(s).  Please find a safe place to log out.	2	B09B79			8	0	3	1	0	Exit Game: $s1 second(s)	server
2	1	$s1 does not exist.	0	B09B79			0	0	0	0	0		none
3	1	$s1 is not currently logged in.	0	B09B79			0	0	0	0	0		none
4	1	You cannot ask yourself to apply to a clan.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
5	1	$s1 already exists.	0	B09B79	ItemSound3.sys_character_failed		0	0	0	0	0		none
6	1	$s1 does not exist.	0	B09B79	ItemSound3.sys_character_failed		0	0	0	0	0		none
7	1	You are already a member of $s1.	0	B09B79			0	0	0	0	0		none
8	1	You are working with another clan.	0	B09B79			0	0	0	0	0		none
9	1	$s1 is not a clan leader.	0	B09B79			0	0	0	0	0		none
10	1	$s1 is working with another clan.	0	B09B79			0	0	0	0	0		none
11	1	There are no applicants for this clan.	0	B09B79			0	0	0	0	0		none
12	1	Applicant information is incorrect.	0	B09B79			0	0	0	0	0		none
13	1	Unable to disperse: your clan has requested to participate in a castle siege.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
14	1	Unable to disperse: your clan owns one or more castles or hideouts.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
15	1	You are in siege.	0	B09B79			0	0	0	0	0		none
16	1	You are not in siege.	0	B09B79			0	0	0	0	0		none
17	1	The castle siege has begun.	0	B09B79	ItemSound3.sys_siege_start	17	2	0	3	1	0	Begin the Siege!	none
18	1	The castle siege has ended.	0	B09B79		18	2	0	3	1	0	The siege has ended!	none
19	1	There is a new Lord of the castle!	0	B09B79			0	0	0	0	0		none
20	1	The gate is being opened.	0	B09B79			2	0	3	1	0	The gate is opening.	none
21	1	The gate is being destroyed.	0	B09B79			2	0	3	1	0	The gate is being destroyed.	none
22	1	Your target is out of range.	0	B09B79			0	0	0	0	0		none
23	1	Not enough HP.	0	B09B79	ItemSound3.sys_shortage		0	0	0	0	0		none
24	1	Not enough MP.	0	B09B79	ItemSound3.sys_shortage		0	0	0	0	0		none
25	1	Rejuvenating HP.	0	B09B79			0	0	0	0	0		none
26	1	Rejuvenating MP.	0	B09B79			0	0	0	0	0		none
27	1	Your casting has been interrupted.	0	B09B79			0	0	0	0	0		none
28	1	You have obtained $s1 adena.	0	FFFF00			0	0	0	0	0		none
29	1	You have obtained $s2 $s1.	0	FFFF00			0	0	0	0	0		none
30	1	You have obtained $s1.	0	FFFF00			0	0	0	0	0		none
31	1	You cannot move while sitting.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
32	1	You are unable to engage in combat. Please go to the nearest restart point.	0	B09B79			0	0	0	0	0		none
33	1	You cannot move while casting.	0	B09B79	ItemSound3.sys_impossible		0	0	0	0	0		none
34	1	Welcome to the World of Lineage II.	2	B09B79			0	0	0	0	0		server
35	1	You hit for $s1 damage.	3	B09B79			0	0	0	0	0		damage
36	1	$c1 hit you for $s2 damage.	3	B09B79			0	0	0	0	0		damage
37	1	$c1 hit you for $s2 damage.	3	B09B79			0	0	0	0	0		damage
38	1	The TGS2002 event begins!	0	B09B79			0	0	0	0	0		none
39	1	The TGS2002 event is over. Thank you very much.	0	B09B79			0	0	0	0	0		none
40	1	This is the TGS demo: the character will immediately be restored.	0	B09B79			0	0	0	0	0		none
41	1	You carefully nock an arrow.	1	B09B79			0	0	0	0	0		battle
42	1	You have avoided $c1's attack.	1	B09B79			0	0	0	0	0		battle
43	1	You have missed.	1	B09B79			0	0	0	0	0		battle
44	1	Critical hit!	1	B09B79			0	0	0	0	0		battle
45	1	You have earned $s1 experience.	0	B09B79			0	0	0	0	0		none
46	1	You use $s1.	0	B09B79			0	0	0	0	0		none
