# nbr	zone_color_id	x_world_grid	y_world_grid	top_z	bottom_z	zone_name	coords1	coords2	coords3	coords4	coords5	coords6	UNK_1	map	dupa
0	0	0	0	30000	-30000	Neutral Waterways	-1	-1	-1	-1	-1	-1	0		0
1	1	0	0	30000	-30000	Talking Island	-1	-1	-1	-1	-1	-1	0		0
2	2	0	0	30000	-30000	Gludio Territory	-1	-1	-1	-1	-1	-1	0		0
3	3	0	0	30000	-30000	Dion Territory	-1	-1	-1	-1	-1	-1	0		0
4	4	0	0	30000	-30000	Giran Territory	-1	-1	-1	-1	-1	-1	0		0
5	5	0	0	30000	-30000	The Dark Forest	-1	-1	-1	-1	-1	-1	0		0
6	6	0	0	30000	-30000	Elven Forest	-1	-1	-1	-1	-1	-1	0		0
7	7	0	0	30000	-30000	Oren Territory	-1	-1	-1	-1	-1	-1	0		0
8	8	0	0	30000	-30000	Aden Territory	-1	-1	-1	-1	-1	-1	0		0
9	9	0	0	30000	-30000	Innadril Territory	-1	-1	-1	-1	-1	-1	0		0
10	10	0	0	30000	-30000	Misty Mountains	-1	-1	-1	-1	-1	-1	0		0
11	11	0	0	30000	-30000	The Neutral Zone	-1	-1	-1	-1	-1	-1	0		0
12	12	0	0	30000	-30000	Dragon Valley	-1	-1	-1	-1	-1	-1	0		0
13	13	0	0	30000	-30000	_Lyonn Territory	-1	-1	-1	-1	-1	-1	0		0
14	14	0	0	30000	-30000	Schuttgart Territory	-1	-1	-1	-1	-1	-1	0		0
15	15	0	0	30000	-30000	Wasteland	-1	-1	-1	-1	-1	-1	0		0
16	252	18	21	30000	-30000	Fellmere Lake	-1	-1	-1	-1	-1	-1	0		0
17	254	19	23	-4400	-7520	The Ant Nest	-1	-1	-1	-1	-1	-1	0		0
18	251	17	22	30000	-30000	Gludin Arena	-1	-1	-1	-1	-1	-1	0		0
19	254	19	21	30000	-30000	Gludio Castle	-1	-1	-1	-1	-1	-1	0		0
20	255	19	21	30000	-30000	Town of Gludio	756	1932	-19968	117504	1024	1024	"0,05"	map_gludio_castle_town	0
21	255	17	22	30000	-30000	Gludin Village	433	2079	-89344	145792	1024	1024	"0,05"	map_gludin_village	0
22	254	17	22	30000	-30000	Gludin Harbor	-1	-1	-1	-1	-1	-1	0		0
23	255	18	24	30000	-4200	Langk Lizardmen Dwellings	-1	-1	-1	-1	-1	-1	0		0
24	253	18	23	30000	-3700	Red Rock Ridge	-1	-1	-1	-1	-1	-1	0		0
25	253	19	21	30000	-30000	Maille Lizardmen Barracks	-1	-1	-1	-1	-1	-1	0		0
26	253	17	20	30000	-4200	Windy Hill	-1	-1	-1	-1	-1	-1	0		0
27	255	18	21	30000	-30000	Ruins of Agony	-1	-1	-1	-1	-1	-1	0		0
28	254	18	23	-3760	-5632	Forgotten Temple	-1	-1	-1	-1	-1	-1	0		0
29	255	19	22	30000	-30000	Ruins of Despair	-1	-1	-1	-1	-1	-1	0		0
30	255	17	21	30000	-30000	Orc Barracks	-1	-1	-1	-1	-1	-1	0		0
31	255	18	22	30000	-30000	Abandoned Camp	-1	-1	-1	-1	-1	-1	0		0
32	255	21	25	-4874	-6874	Elven Ruins	270	2485	34830	235950	1024	1024	"0,05"	dungeon_map_elven_ruin	0
33	255	16	25	30000	-30000	Elven Ruins	-1	-1	-1	-1	-1	-1	0		0
34	255	21	25	30000	-6873	Neutral Waterways	-1	-1	-1	-1	-1	-1	0		0
35	255	17	25	30000	-30000	Talking Island Village	406	2536	-90624	236416	1024	1024	"0,05"	map_talkin_island_village	0
36	253	17	25	30000	-30000	Cedric's Training Hall	-1	-1	-1	-1	-1	-1	0		0
37	254	17	25	30000	-30000	Einhovant's School of Magic	-1	-1	-1	-1	-1	-1	0		0
